Epoch 1/20 | Loss: 0.6134 | Accuracy: 74.26%
Epoch 2/20 | Loss: 0.5265 | Accuracy: 74.26%
Epoch 3/20 | Loss: 0.4494 | Accuracy: 73.92%
Epoch 4/20 | Loss: 0.3470 | Accuracy: 74.15%
Epoch 5/20 | Loss: 0.2538 | Accuracy: 72.67%
Epoch 6/20 | Loss: 0.1766 | Accuracy: 77.79%
Epoch 7/20 | Loss: 0.1088 | Accuracy: 75.06%
Epoch 8/20 | Loss: 0.0864 | Accuracy: 72.55%
Epoch 9/20 | Loss: 0.0590 | Accuracy: 74.37%
Epoch 10/20 | Loss: 0.0629 | Accuracy: 75.17%
Epoch 11/20 | Loss: 0.0721 | Accuracy: 76.65%
Epoch 12/20 | Loss: 0.0327 | Accuracy: 72.78%
Epoch 13/20 | Loss: 0.0429 | Accuracy: 72.10%
Epoch 14/20 | Loss: 0.0510 | Accuracy: 73.69%
Epoch 15/20 | Loss: 0.0345 | Accuracy: 74.37%
Epoch 16/20 | Loss: 0.0342 | Accuracy: 74.37%
Epoch 17/20 | Loss: 0.0326 | Accuracy: 76.65%
Epoch 18/20 | Loss: 0.0324 | Accuracy: 74.37%
Epoch 19/20 | Loss: 0.0462 | Accuracy: 75.40%
Epoch 20/20 | Loss: 0.0198 | Accuracy: 74.49%
