Batch size: 64, Epochs: 20, Learning Rate: 0.003
Epoch 1/20 | Loss: 0.7794 | Accuracy: 58.66%
Epoch 2/20 | Loss: 0.6841 | Accuracy: 60.25%
Epoch 3/20 | Loss: 0.6629 | Accuracy: 65.38%
Epoch 4/20 | Loss: 0.6578 | Accuracy: 62.98%
Epoch 5/20 | Loss: 0.6445 | Accuracy: 57.29%
Epoch 6/20 | Loss: 0.6236 | Accuracy: 49.89%
Epoch 7/20 | Loss: 0.6121 | Accuracy: 53.53%
Epoch 8/20 | Loss: 0.5965 | Accuracy: 57.29%
Epoch 9/20 | Loss: 0.5829 | Accuracy: 53.53%
Epoch 10/20 | Loss: 0.5826 | Accuracy: 50.00%
Epoch 11/20 | Loss: 0.5643 | Accuracy: 68.91%
Epoch 12/20 | Loss: 0.5581 | Accuracy: 64.69%
Epoch 13/20 | Loss: 0.5405 | Accuracy: 62.30%
Epoch 14/20 | Loss: 0.5270 | Accuracy: 59.57%
Epoch 15/20 | Loss: 0.5138 | Accuracy: 66.86%
Epoch 16/20 | Loss: 0.4870 | Accuracy: 61.62%
Epoch 17/20 | Loss: 0.4661 | Accuracy: 68.68%
Epoch 18/20 | Loss: 0.4386 | Accuracy: 54.44%
Epoch 19/20 | Loss: 0.4233 | Accuracy: 70.84%
Epoch 20/20 | Loss: 0.3991 | Accuracy: 69.36%
